id,lon,lat,code,eng,cn,name,web,country,degrees,continent,country_en
171,7.055,43.6244,FR,UCA,蔚蓝海岸大学,University of Côte d’Azur,http://web.univ-cotedazur.fr//en/idex/formations-idex/risks#.X3UUQGhKhPY,法国,硕士,欧洲,France
172,126.99141,37.5882,SK,SKKU,成均馆大学,Sungkyunkwan University,https://enc.skku.edu/eng_enc/programs/departments/civil_intro.do#N,韩国,硕士 博士,亚洲,South Korea
173,127.0255,37.59079,SK,KU,高丽大学,Korea University,https://www.egisrs.org/,韩国,硕士 博士,亚洲,South Korea
174,126.917,37.3918,SK,Anyang,安养大学,Anyang University,http://www.anyang.ac.kr/urban/contents/contents.do?ciIdx=522&menuId=847,韩国,硕士 博士,亚洲,South Korea
175,128.7982,35.9023,SK,KIU,庆一大学,Kyungil University,http://geosat.kiu.ac.kr/,韩国,硕士 博士,亚洲,South Korea
176,126.9325,37.4565,SK,SNU,首尔大学,Seoul National University,https://cee.snu.ac.kr/english/index.php,韩国,硕士 博士,亚洲,South Korea
177,127.0565,37.5838,SK,UOS,首尔市立大学,University of Seoul,https://www.uos.ac.kr/en/academics/colleges/cuscience/geolnformatics/introduction.do?epTicket=LOG,韩国,硕士 博士,亚洲,South Korea
178,126.9363,37.56578,SK,Yonsei,延世大学,Yonsei University,http://scsi.yonsei.ac.kr/,韩国,硕士 博士,亚洲,South Korea
179,14.4213,50.0871,CZ,CUNI,查尔斯大学,Charles University,https://www.natur.cuni.cz/geografie/studium?set_language=cs,捷克,硕士 博士,欧洲,Cezck
180,17.24916,49.5948,CZ,UPOL,帕拉茨基大学,"Palacky University, Olomouc",http://www.geoinformatics.upol.cz/en/department-of-geoinformatics,捷克,硕士 博士,欧洲,Cezck
181,19.0563,47.4905,HU,ELTE,罗兰大学,Eotvos Lorand University,http://lazarus.elte.hu/index.html,匈牙利,硕士 博士,欧洲,Hungary
