id,lon,lat,code,eng,cn,name,web,country,degrees,continent,country_en
54,-73.7716913,42.66047409,US,UAlbany,纽约州立大学奥尔巴尼分校,"University at Albany, State University of New York",https://www.albany.edu/geographyplanning,美国,硕士,北美洲,United States
55,-75.9698152,42.08866878,US,Binghamton,纽约州立大学宾厄姆顿分校,"University at Binghamton, the State University of New York",,美国,硕士,北美洲,United States
56,-78.7885809,43.00084956,US,UB,纽约州立大学水牛城分校,"University at Buffalo, the State University of New York",http://www.buffalo.edu/cas/geography.html,美国,硕士 博士,北美洲,United States
57,-68.669014,44.8990518,US,Maine,缅因大学,University of Maine,https://umaine.edu/scis/,美国,硕士 博士,北美洲,United States
58,-84.5023727,38.02618827,US,UKY,肯塔基大学,University of Kentucky,https://geography.as.uky.edu/,美国,硕士 博士,北美洲,United States
59,-81.899,41.145,US,Kent State,肯特州立大学,Kent State University,https://www.kent.edu/geography,美国,硕士 博士,北美洲,United States
60,-79.9584961,39.6120362,US,WVU,西弗吉尼亚大学,West Virginia University,https://www.geo.wvu.edu/,美国,硕士 博士,北美洲,United States
61,-91.1903,30.40145458,US,LSU,路易斯安纳州立大学,Louisiana State University,https://www.lsu.edu/ga/index.php,美国,硕士 博士,北美洲,United States
62,-84.515419,39.12792964,US,Cincinnati,辛辛那提大学,University of Cincinnati,https://www.artsci.uc.edu/departments/geography.html,美国,硕士 博士,北美洲,United States
63,-147.8313446,64.85550261,US,UAF,阿拉斯加大学费尔班克斯分校,"University of Alaska, Fairbanks",https://www.uaf.edu/geosciences/,美国,硕士 博士,北美洲,United States
64,-94.1732597,36.06755593,US,UArk,阿肯色大学,University of Arkansas,https://fulbright.uark.edu/departments/geosciences/,美国,硕士 博士,北美洲,United States
65,-76.1167145,43.01644635,US,Syracuse,雪城大学,Syracuse University,https://www.maxwell.syr.edu/geography-and-the-environment/,美国,硕士 博士,北美洲,United States
66,-76.9456673,38.98583339,US,UMD,马里兰大学,University of Maryland at College Park,https://gis-info.github.io/www.geog.umd.edu,美国,硕士 博士,北美洲,United States
67,-86.923,40.4237,US,Purdue,普渡大学,Purdue University,https://engineering.purdue.edu/CE/Academics/Graduate,美国,硕士 博士,北美洲,United States
68,-123.2448864,49.25772233,CA,UBC,不列颠哥伦比亚大学,University of British Columbia,https://www.geog.ubc.ca/,加拿大,硕士 博士,北美洲,Canada
69,-114.1424561,51.075758,CA,Calgory,卡尔加里大学,University of Calgary ,https://arts.ucalgary.ca/geography,加拿大,硕士 博士,北美洲,Canada
70,-80.2214813,43.52814001,CA,Guelph,圭尔夫大学,University of Guelph,https://geg.uoguelph.ca/,加拿大,硕士 博士,北美洲,Canada
71,-79.3954468,43.66129013,CA,Toronto,多伦多大学,University of Toronto,https://geography.utoronto.ca/department/,加拿大,硕士 博士,北美洲,Canada
72,-79.2491913,43.11714943,CA,Brock,布洛克大学,Brock University,https://brocku.ca/social-sciences/geography/programs/graduate-program/,加拿大,硕士,北美洲,Canada
73,-80.555191,43.47680926,CA,Waterloo,滑铁卢大学,University of Waterloo,https://uwaterloo.ca/geography-environmental-management,加拿大,硕士 博士,北美洲,Canada
74,-79.5029068,43.76911045,CA,York,约克大学,York University,https://geography.gradstudies.yorku.ca/,加拿大,硕士 博士,北美洲,Canada
75,-123.3078003,48.46153929,CA,UVic,维多利亚大学,University of Victoria,https://www.uvic.ca/socialsciences/geography/,加拿大,硕士 博士,北美洲,Canada
76,-106.6278076,52.12758694,CA,USask,萨斯卡彻万大学,University of Saskatchewan,https://artsandscience.usask.ca/geography/,加拿大,硕士 博士,北美洲,Canada
77,-81.2741089,43.00615354,CA,UWO,韦仕敦大学（西安大略大学）,Western University,https://geoenvironment.uwo.ca/,加拿大,硕士 博士,北美洲,Canada
78,-122.92207,49.27809,CA,SFU,西蒙弗拉塞尔大学,Simon Fraser University,http://www.sfu.ca/geography.html,加拿大,硕士 博士,北美洲,Canada
79,-113.5260201,53.52388043,CA,Alberta,阿尔伯塔大学,University of Alberta,https://www.ualberta.ca/engineering/research/groups/smart-transportation/index.html,加拿大,硕士 博士,北美洲,Canada
80,-97.13881,49.8075,CA,Manitoba,马尼托巴大学,University of Manitoba ,http://umanitoba.ca/faculties/environment/departments/geography/index.html,加拿大,硕士 博士,北美洲,Canada
81,-79.917469,43.26070608,CA,McMaster,麦克马斯特大学,McMaster University,https://www.science.mcmaster.ca/ees/,加拿大,硕士 博士,北美洲,Canada
82,-73.5812759,45.50646721,CA,McGill,麦吉尔大学,McGill University,https://mcgill.ca/geography/,加拿大,硕士 博士,北美洲,Canada
83,147.32365,-42.9036,AU,UTas,塔斯马尼亚大学,University of Tasmania,https://www.utas.edu.au/technology-environments-design/geography-and-spatial-sciences,澳大利亚,硕士 博士,大洋洲,Australia
84,144.9612737,-37.79793311,AU,Melbourne ,墨尔本大学,University of Melbourne,https://infrastructure.eng.unimelb.edu.au/research/geomatics/,澳大利亚,硕士 博士,大洋洲,Australia
85,115.8922863,-32.00687505,AU,Curtin,科廷大学,Curtin University,https://scieng.curtin.edu.au/schools/school-of-earth-and-planetary-sciences/spatial-sciences/,澳大利亚,硕士 博士,大洋洲,Australia
86,115.8192444,-31.98143383,AU,UWA,西澳大学,University of Western Australia,https://www.uwa.edu.au/science/schools/uwa-school-of-agriculture-and-environment%a0,澳大利亚,硕士,大洋洲,Australia
87,138.6041379,-34.91910319,AU,UAdel,阿德莱德大学,University of Adelaide,http://www.spatialpoints.com/,澳大利亚,硕士,大洋洲,Australia
88,138.5691,-35.0244,AU,Flinders,弗林德斯大学,University of Flinders,"https://students.flinders.edu.au/my-course/course-rules/postgrad/mgis#:~:text=The%20Master%20of%20Geospatial%20Information,Diploma%20in%20Geographical%20Information%20Systems.",澳大利亚,硕士,大洋洲,Australia
89,153.0049,-27.4975,AU,UQ,昆士兰大学,University of Queesland,https://sees.uq.edu.au/,澳大利亚,硕士 博士,大洋洲,Australia
90,172.579,-43.5224,NZ,UC,坎特伯雷大学,University of Canterbury,https://www.canterbury.ac.nz/science/schools-and-departments/earth-and-environment/,新西兰,硕士 博士,大洋洲,New Zealand
91,174.7642,-36.8536,NZ,AUT,奥克兰理工大学,Auckland University of Technology,https://aenz.aut.ac.nz/,新西兰,硕士 博士,大洋洲,New Zealand
92,170.51223,-45.8646,NZ,Otago,奥塔哥大学,University of Otago,https://www.otago.ac.nz/surveying/index.html,新西兰,硕士 博士,大洋洲,New Zealand
93,174.76569,-41.2901,NZ,VUW,惠灵顿维多利亚大学,Victoria University of Wellington,https://www.wgtn.ac.nz/sgees,新西兰,硕士 博士,大洋洲,New Zealand
94,174.77243,-41.29832,NZ,Massey,梅西大学,Massey University,https://www.massey.ac.nz/massey/explore/departments/school-people-environment-planning/school-people-environment-planning_home.cfm,新西兰,硕士,大洋洲,New Zealand
95,103.7782288,1.294045092,SG,NUS,新加坡国立大学,National University of Singapore,https://www.fas.nus.edu.sg/geog/,新加坡,硕士 博士,亚洲,Singapore
96,6.0671997,50.778698,DE,RWTH,亚琛工业大学,RWTH Aachen University,https://www.amur.rwth-aachen.de/cms/~ofpe/AMUR/?lidx=1,德国,硕士 博士,欧洲,Germany
